node: 0, parent: -1, adj: [141730, 21454]
node: 141730, parent: 0, adj: [190077, 0]
node: 190077, parent: 141730, adj: [125026, 141730]
node: 125026, parent: 190077, adj: [146883, 190077]
node: 146883, parent: 125026, adj: [50152, 125026]
node: 50152, parent: 146883, adj: [171609, 146883]
node: 171609, parent: 50152, adj: [184356, 50152]
node: 184356, parent: 171609, adj: [52439, 171609]
node: 52439, parent: 184356, adj: [11659, 184356]
node: 11659, parent: 52439, adj: [7819, 52439]
node: 7819, parent: 11659, adj: [8280, 11659]
node: 8280, parent: 7819, adj: [56741, 7819]
node: 56741, parent: 8280, adj: [91372, 8280]
node: 91372, parent: 56741, adj: [140052, 56741]
node: 140052, parent: 91372, adj: [88947, 91372]
node: 88947, parent: 140052, adj: [92643, 140052]
node: 92643, parent: 88947, adj: [178184, 88947]
node: 178184, parent: 92643, adj: [174940, 92643]
node: 174940, parent: 178184, adj: [43886, 178184]
node: 43886, parent: 174940, adj: [199124, 174940]
node: 199124, parent: 43886, adj: [64446, 43886]
node: 64446, parent: 199124, adj: [80796, 199124]
node: 80796, parent: 64446, adj: [146403, 64446]
node: 146403, parent: 80796, adj: [187767, 80796]
node: 187767, parent: 146403, adj: [185207, 146403]
node: 185207, parent: 187767, adj: [132075, 187767]
node: 132075, parent: 185207, adj: [46845, 185207]
node: 46845, parent: 132075, adj: [190004, 132075]
node: 190004, parent: 46845, adj: [132829, 46845]
node: 132829, parent: 190004, adj: [153636, 190004]
node: 153636, parent: 132829, adj: [170813, 132829]
node: 170813, parent: 153636, adj: [83525, 153636]
node: 83525, parent: 170813, adj: [26635, 170813]
node: 26635, parent: 83525, adj: [108612, 83525]
node: 108612, parent: 26635, adj: [32274, 26635]
node: 32274, parent: 108612, adj: [132420, 108612]
node: 132420, parent: 32274, adj: [186032, 32274]
node: 186032, parent: 132420, adj: [77308, 132420]
node: 77308, parent: 186032, adj: [67206, 186032]
node: 67206, parent: 77308, adj: [142629, 77308]
node: 142629, parent: 67206, adj: [26062, 67206]
node: 26062, parent: 142629, adj: [177668, 142629]
node: 177668, parent: 26062, adj: [64098, 26062]
node: 64098, parent: 177668, adj: [49729, 177668]
node: 49729, parent: 64098, adj: [160460, 64098]
node: 160460, parent: 49729, adj: [115674, 49729]
node: 115674, parent: 160460, adj: [138659, 160460]
node: 138659, parent: 115674, adj: [130558, 115674]
node: 130558, parent: 138659, adj: [105515, 138659]
node: 105515, parent: 130558, adj: [58930, 130558]
node: 58930, parent: 105515, adj: [1889, 105515]
node: 1889, parent: 58930, adj: [133299, 58930]
node: 133299, parent: 1889, adj: [160697, 1889]
node: 160697, parent: 133299, adj: [33540, 133299]
node: 33540, parent: 160697, adj: [5938, 160697]
node: 5938, parent: 33540, adj: [187327, 33540]
node: 187327, parent: 5938, adj: [150513, 5938]
node: 150513, parent: 187327, adj: [112621, 187327]
node: 112621, parent: 150513, adj: [146619, 150513]
node: 146619, parent: 112621, adj: [134260, 112621]
node: 134260, parent: 146619, adj: [175614, 146619]
node: 175614, parent: 134260, adj: [1796, 134260]
node: 1796, parent: 175614, adj: [49925, 175614]
node: 49925, parent: 1796, adj: [118463, 1796]
node: 118463, parent: 49925, adj: [87171, 49925]
node: 87171, parent: 118463, adj: [54201, 118463]
node: 54201, parent: 87171, adj: [109028, 87171]
node: 109028, parent: 54201, adj: [16981, 54201]
node: 16981, parent: 109028, adj: [155093, 109028]
node: 155093, parent: 16981, adj: [64325, 16981]
node: 64325, parent: 155093, adj: [76356, 155093]
node: 76356, parent: 64325, adj: [178471, 64325]
node: 178471, parent: 76356, adj: [120229, 76356]
node: 120229, parent: 178471, adj: [89600, 178471]
node: 89600, parent: 120229, adj: [53200, 120229]
node: 53200, parent: 89600, adj: [68957, 89600]
node: 68957, parent: 53200, adj: [140476, 53200]
node: 140476, parent: 68957, adj: [33579, 68957]
node: 33579, parent: 140476, adj: [195496, 140476]
node: 195496, parent: 33579, adj: [11656, 33579]
node: 11656, parent: 195496, adj: [77943, 195496]
node: 77943, parent: 11656, adj: [139214, 11656]
node: 139214, parent: 77943, adj: [163733, 77943]
node: 163733, parent: 139214, adj: [170246, 139214]
node: 170246, parent: 163733, adj: [58213, 163733]
node: 58213, parent: 170246, adj: [25525, 170246]
node: 25525, parent: 58213, adj: [13485, 58213]
node: 13485, parent: 25525, adj: [124229, 25525]
node: 124229, parent: 13485, adj: [85609, 13485]
node: 85609, parent: 124229, adj: [150161, 124229]
node: 150161, parent: 85609, adj: [67605, 85609]
node: 67605, parent: 150161, adj: [95494, 150161]
node: 95494, parent: 67605, adj: [172177, 67605]
